Região de Saúde,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
32003,21.49,17.19,17.43,14.89,15.56,19.30,19.24,24.74,29.20,30.25,35.65,42.20
32004,34.24,32.09,30.84,29.72,31.71,30.92,30.25,36.78,40.49,46.14,45.59,46.86
33001,46.44,43.10,39.11,32.35,21.83,15.48,24.35,46.93,57.38,63.37,60.21,61.73
33002,19.57,24.52,25.62,25.50,26.51,24.64,22.36,22.09,20.33,19.80,20.68,19.86
33003,25.55,23.81,18.01,18.89,19.61,18.57,15.68,16.33,16.47,16.51,19.68,26.06
33004,33.46,31.19,29.63,28.71,28.12,25.60,24.51,23.60,22.10,21.87,22.68,25.23
33005,7.62,8.38,8.10,10.05,12.35,16.31,18.39,23.12,24.99,28.50,33.70,34.36
33006,55.01,67.18,67.53,63.85,61.51,55.01,46.39,45.38,43.43,45.76,48.83,47.40
33007,32.16,34.25,36.91,39.39,31.76,29.32,23.40,22.64,29.22,31.61,26.02,23.06
33008,8.84,16.10,16.95,14.10,12.26,11.79,12.18,12.73,13.83,16.90,18.28,23.20
33009,26.70,31.44,29.14,24.42,24.14,24.03,27.50,33.35,34.71,32.78,32.95,37.28
35011,8.72,7.81,4.98,5.77,6.92,6.10,6.99,12.12,15.16,14.96,13.85,14.95
